iter	Passed	Remaining
0	145	144892
1	148	74270
2	152	50781
3	156	39083
4	160	32001
5	165	27341
6	169	24005
7	173	21482
8	176	19482
9	180	17906
10	183	16524
11	186	15336
12	188	14335
13	191	13468
14	193	12723
15	196	12069
16	197	11444
17	199	10885
18	201	10382
19	202	9936
20	204	9529
21	205	9156
22	207	8819
23	209	8506
24	210	8219
25	212	7952
26	213	7707
27	215	7479
28	217	7273
29	218	7073
30	220	6889
31	222	6715
32	223	6552
33	224	6382
34	225	6220
35	226	6066
36	227	5921
37	228	5785
38	229	5654
39	230	5529
40	231	5414
41	232	5302
42	233	5192
43	234	5088
44	235	4988
45	235	4893
46	236	4801
47	237	4714
48	238	4629
49	239	4549
50	240	4471
51	241	4396
52	242	4325
53	242	4256
54	243	4189
55	244	4124
56	245	4064
57	246	4005
58	247	3947
59	248	3891
60	249	3837
61	250	3785
62	251	3738
63	252	3689
64	253	3641
65	254	3595
66	254	3549
67	255	3500
68	256	3457
69	257	3416
70	258	3376
71	258	3336
72	259	3298
73	260	3262
74	261	3226
75	262	3191
76	263	3157
77	264	3123
78	265	3090
79	265	3058
80	266	3027
81	267	2996
82	268	2966
83	269	2937
84	269	2906
85	270	2879
86	271	2849
87	272	2822
88	273	2797
89	274	2772
90	275	2748
91	276	2724
92	276	2700
93	277	2677
94	279	2657
95	279	2635
96	280	2613
97	281	2592
98	282	2571
99	283	2550
100	284	2530
101	284	2506
102	285	2487
103	286	2468
104	287	2449
105	288	2430
106	289	2412
107	290	2395
108	290	2377
109	291	2360
110	292	2343
111	293	2327
112	294	2310
113	295	2294
114	296	2278
115	296	2262
116	297	2247
117	298	2232
118	299	2216
119	300	2201
120	301	2187
121	302	2173
122	302	2156
123	303	2143
124	304	2129
125	305	2116
126	306	2105
127	306	2090
128	307	2077
129	308	2065
130	309	2053
131	310	2041
132	311	2029
133	312	2017
134	313	2005
135	313	1994
136	314	1982
137	315	1970
138	316	1959
139	317	1948
140	318	1938
141	319	1927
142	320	1918
143	321	1909
144	322	1901
145	323	1893
146	324	1884
147	325	1876
148	326	1866
149	327	1857
150	328	1847
151	329	1837
152	330	1828
153	331	1819
154	332	1810
155	332	1801
156	333	1792
157	334	1784
158	335	1775
159	336	1766
160	337	1758
161	338	1749
162	339	1741
163	340	1733
164	340	1725
165	341	1717
166	342	1709
167	343	1701
168	344	1693
169	345	1685
170	346	1678
171	347	1671
172	348	1663
173	349	1656
174	349	1649
175	350	1642
176	351	1635
177	352	1627
178	353	1620
179	354	1613
180	354	1605
181	355	1598
182	356	1591
183	357	1584
184	358	1578
185	359	1571
186	360	1565
187	360	1558
188	361	1552
189	362	1546
190	363	1540
191	364	1533
192	365	1527
193	366	1521
194	367	1515
195	367	1509
196	368	1503
197	369	1497
198	370	1491
199	371	1485
200	372	1479
201	373	1473
202	373	1468
203	374	1463
204	376	1458
205	376	1452
206	377	1447
207	378	1442
208	379	1436
209	380	1431
210	381	1426
211	382	1420
212	383	1415
213	384	1410
214	384	1405
215	385	1400
216	386	1395
217	387	1390
218	388	1385
219	389	1380
220	390	1375
221	390	1369
222	391	1365
223	392	1360
224	393	1355
225	394	1351
226	395	1346
227	396	1341
228	397	1336
229	397	1332
230	398	1327
231	399	1323
232	400	1318
233	401	1313
234	402	1309
235	403	1305
236	404	1301
237	405	1297
238	406	1293
239	407	1289
240	408	1285
241	409	1281
242	410	1277
243	411	1274
244	412	1270
245	413	1266
246	414	1262
247	415	1258
248	416	1254
249	416	1250
250	417	1246
251	418	1242
252	419	1238
253	420	1234
254	421	1230
255	422	1226
256	422	1222
257	423	1218
258	424	1214
259	425	1211
260	426	1207
261	427	1203
262	428	1199
263	428	1195
264	429	1192
265	430	1188
266	431	1185
267	432	1181
268	433	1177
269	434	1174
270	435	1170
271	435	1166
272	436	1163
273	437	1159
274	438	1156
275	439	1152
276	440	1149
277	441	1145
278	442	1142
279	443	1139
280	443	1136
281	445	1133
282	446	1130
283	446	1126
284	447	1123
285	448	1120
286	449	1116
287	450	1113
288	451	1110
289	452	1107
290	453	1103
291	453	1100
292	454	1097
293	455	1094
294	456	1090
295	457	1087
296	458	1084
297	459	1081
298	460	1078
299	460	1075
300	461	1072
301	462	1069
302	463	1065
303	464	1062
304	465	1059
305	466	1056
306	466	1053
307	467	1050
308	468	1047
309	469	1044
310	470	1042
311	471	1039
312	472	1036
313	472	1033
314	473	1030
315	474	1027
316	475	1024
317	476	1021
318	477	1019
319	478	1016
320	479	1013
321	479	1010
322	480	1007
323	481	1004
324	482	1002
325	483	999
326	484	996
327	485	994
328	486	991
329	486	988
330	487	985
331	488	983
332	489	980
333	490	977
334	491	975
335	492	972
336	492	969
337	493	967
338	494	964
339	495	962
340	496	959
341	497	957
342	498	954
343	499	952
344	500	949
345	501	947
346	501	944
347	502	942
348	503	939
349	504	936
350	505	934
351	506	931
352	507	929
353	507	926
354	508	924
355	509	921
356	510	919
357	511	917
358	512	914
359	513	912
360	514	910
361	514	907
362	515	905
363	516	902
364	517	900
365	518	898
366	519	895
367	520	893
368	521	891
369	522	888
370	522	886
371	523	884
372	524	881
373	525	879
374	526	877
375	527	875
376	528	873
377	529	870
378	530	868
379	530	866
380	531	863
381	532	861
382	533	859
383	534	857
384	535	855
385	536	852
386	537	850
387	537	848
388	538	846
389	539	844
390	540	842
391	542	840
392	543	838
393	544	836
394	544	834
395	545	832
396	546	830
397	547	828
398	548	825
399	549	823
400	550	821
401	550	819
402	551	817
403	552	815
404	553	813
405	554	811
406	555	809
407	556	807
408	557	805
409	558	803
410	559	801
411	559	799
412	560	797
413	561	795
414	562	793
415	563	791
416	564	789
417	565	786
418	566	784
419	566	782
420	567	780
421	568	779
422	569	777
423	570	775
424	571	773
425	572	771
426	573	769
427	574	767
428	575	765
429	576	763
430	576	761
431	577	759
432	578	757
433	579	755
434	580	753
435	581	751
436	582	749
437	583	748
438	584	746
439	584	744
440	585	742
441	586	740
442	587	738
443	588	736
444	589	735
445	590	733
446	591	731
447	592	729
448	592	727
449	593	725
450	594	723
451	595	722
452	596	720
453	597	718
454	598	716
455	599	714
456	600	712
457	600	711
458	601	709
459	602	707
460	603	705
461	604	703
462	605	701
463	606	700
464	606	698
465	607	696
466	608	694
467	609	692
468	610	691
469	611	689
470	612	687
471	613	686
472	614	684
473	615	682
474	615	680
475	616	678
476	617	677
477	618	675
478	619	673
479	620	671
480	621	670
481	621	668
482	622	666
483	623	664
484	624	663
485	625	661
486	626	659
487	627	658
488	628	656
489	629	654
490	629	653
491	630	651
492	631	649
493	632	647
494	633	646
495	634	644
496	635	642
497	636	641
498	636	639
499	637	637
500	638	636
501	639	634
502	640	633
503	641	631
504	642	629
505	643	628
506	644	626
507	645	624
508	645	623
509	646	621
510	647	619
511	648	618
512	649	616
513	650	614
514	651	613
515	652	611
516	652	610
517	653	608
518	654	606
519	655	605
520	656	603
521	657	601
522	658	600
523	659	598
524	660	597
525	660	595
526	661	593
527	662	592
528	663	590
529	664	589
530	665	587
531	666	585
532	667	584
533	668	583
534	669	581
535	670	580
